T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
920.2866932	95	5	0	0	99.50297334	0.4970266633	95	5			0.003722616759	-0.003722616759	0.003722616759	-0.003722616759			-920.2866932	0	6.00583318094965	
920.2766932	95	5	0.0008482715465	0.0008262284465	99.50259048	0.4974095228	94.99627736	5.003722636			0.007445154963	-0.007445154963	0	0			-920.2766932	0.0008262284465	18.2005471303361	
920.2566932	95	5	0.002540984738	0.001649967515	99.50182459	0.4981754106	94.98883246	5.011167536			0.01116723474	-0.01116723474	0	0			-920.2566932	0.001649967515	24.3139404869788	
920.2166932	95	5	0.005911133923	0.003290490755	99.50029278	0.4997072163	94.97394409	5.026055911			0.01861032546	-0.01861032546	0	0			-920.2166932	0.003290490755	24.4525656587785	
920.1366932	95	5	0.01259105774	0.006543637362	99.49722868	0.5027713175	94.94417246	5.055827542			0.03349215787	-0.03349215787	0	0			-920.1366932	0.006543637362	24.7598835067439	
919.9766932	95	5	0.02569288447	0.01292072699	99.49109864	0.5089013619	94.88465355	5.115346449			0.06323778598	-0.06323778598	0	0			-919.9766932	0.01292072699	25.3944180816489	
919.6566932	95	5	0.05095078605	0.02523661928	99.47883078	0.5211692226	94.76570819	5.234291814			0.1226603238	-0.1226603238	0	0			-919.6566932	0.02523661928	26.6359636877028	
919.0166932	95	5	0.09797997212	0.04821298947	99.45426391	0.5457360904	94.52819305	5.471806946			0.2412219002	-0.2412219002	0	0			-919.0166932	0.04821298947	29.2777397827672	
917.7366932	95	5	0.180120674	0.08849896811	99.40500328	0.5949967193	94.05469633	5.945303672			0.4771876804	-0.4771876804	0	0			-917.7366932	0.08849896811	35.112385509118	
915.1766932	95	5	0.3085682197	0.1519136427	99.30595413	0.6940458658	93.11406231	6.885937685			0.9442886321	-0.9442886321	0	0			-915.1766932	0.1519136427	-208.505908554463	
912.6166932	95	5	0.4036371215	0.1326539085	99.20616242	0.793837576	92.18235528	7.817644716			0.9353291156	-0.9353291156	0	0			-912.6166932	0.1326539085	-153.463104575163	
910.0566932	95	5	0.4766677849	0.1175565943	99.10557647	0.8944235275	91.26008061	8.739919391			0.9258586351	-0.9258586351	0	0			-910.0566932	0.1175565943	-192.245218196987	
907.4966932	95	5	0.5344126776	0.1053958082	99.00414226	0.9958577426	90.34774085	9.652259148			0.9158839585	-0.9158839585	0	0			-907.4966932	0.1053958082	-235.267078462614	
904.9366932	95	5	0.5811357047	0.09538214824	98.9018016	1.098198396	89.4458137	10.5541863			0.90542978	-0.90542978	0	0			-904.9366932	0.09538214824	-282.446147262387	
902.3766932	95	5	0.6196586941	0.08698629565	98.79849231	1.201507691	88.55475208	11.44524792			0.8945209771	-0.8945209771	0	0			-902.3766932	0.08698629565	-333.72389841202	
899.8166932	95	5	0.6519218118	0.07984036924	98.69414792	1.305852075	87.6749799	12.3250201			0.8831866708	-0.8831866708	0	0			-899.8166932	0.07984036924	-389.055409745202	
897.2566932	95	5	0.6793019481	0.07368078109	98.58869751	1.411302489	86.80688859	13.19311141			0.8714594989	-0.8714594989	0	0			-897.2566932	0.07368078109	-448.410251900269	
894.6966932	95	5	0.7028026907	0.06831377035	98.48206536	1.517934638	85.95083405	14.04916595			0.8593751014	-0.8593751014	0	0			-894.6966932	0.06831377035	-511.776100080198	
892.1366932	95	5	0.7231724248	0.06359374937	98.37417071	1.625829293	85.10713427	14.89286573			0.8469715496	-0.8469715496	0	0			-892.1366932	0.06359374937	-579.161487150461	
889.5766932	95	5	0.7409803567	0.05940922806	98.26492736	1.735072638	84.27606751	15.72393249			0.8342887412	-0.8342887412	0	0			-889.5766932	0.05940922806	-650.597910140467	
887.0166932	95	5	0.7566669452	0.05567339219	98.15424335	1.845756654	83.45787107	16.54212893			0.8213677835	-0.8213677835	0	0			-887.0166932	0.05567339219	-726.141302508488	
884.4566932	95	5	0.7705782419	0.05231763447	98.04202044	1.957979562	82.65274071	17.34725929			0.8082503829	-0.8082503829	0	0			-884.4566932	0.05231763447	-805.872901195247	
881.8966932	95	5	0.7829898178	0.0492870127	97.92815368	2.071846321	81.86083062	18.13916938			0.7949782442	-0.7949782442	0	0			-881.8966932	0.0492870127	-889.899606456569	
879.3366932	95	5	0.794123779	0.04653699778	97.8125308	2.187469203	81.08225398	18.91774602			0.7815925961	-0.7815925961	0	0			-879.3366932	0.04653699778	-978.353961418416	
876.7766932	95	5	0.8041610882	0.0440311043	97.69503156	2.304968442	80.31708392	19.68291608			0.7681335924	-0.7681335924	0	0			-876.7766932	0.0440311043	-1071.39387695138	
874.2166932	95	5	0.8132506345	0.04173913718	97.57552701	2.424472988	79.56535502	20.43464498			0.7546399587	-0.7546399587	0	0			-874.2166932	0.04173913718	-1169.20226728279	
871.6566932	95	5	0.8215160093	0.03963587608	97.45387864	2.546121362	78.82706505	21.17293495			0.7411486132	-0.7411486132	0	0			-871.6566932	0.03963587608	-1271.98676017578	
869.0966932	95	5	0.8290606369	0.0377000759	97.32993735	2.670062651	78.10217712	21.89782288			0.7276943774	-0.7276943774	0	0			-869.0966932	0.0377000759	-1379.97965687403	
866.5366932	95	5	0.8359717066	0.03591369887	97.20354236	2.796457643	77.39062193	22.60937807			0.7143097574	-0.7143097574	0	0			-866.5366932	0.03591369887	-1493.43826685309	
863.9766932	95	5	0.8423232213	0.03426131843	97.07451985	2.925480149	76.69230027	23.30769973			0.701024793	-0.701024793	0	0			-863.9766932	0.03426131843	-1612.64586008303	
861.4166932	95	5	0.8481783849	0.0327296523	96.94268147	3.057318527	76.00708554	23.99291446			0.6878669794	-0.6878669794	0	0			-861.4166932	0.0327296523	-1737.91343289208	
858.8566932	95	5	0.8535914904	0.03130719356	96.80782254	3.192177461	75.33482633	24.66517367			0.6748611932	-0.6748611932	0	0			-858.8566932	0.03130719356	-1869.5824211807	
856.2966932	95	5	0.858609426	0.02998391684	96.66971997	3.330280033	74.67534897	25.32465103			0.662029791	-0.662029791	0	0			-856.2966932	0.02998391684	-2008.02875961442	
853.7366932	95	5	0.8632728872	0.02875104278	96.52812985	3.471870146	74.02846002	25.97153998			0.6493926131	-0.6493926131	0	0			-853.7366932	0.02875104278	-2153.66860796198	
851.1766932	95	5	0.8676173591	0.0276008479	96.38278462	3.617215382	73.39394868	26.60605132			0.6369671183	-0.6369671183	0	0			-851.1766932	0.0276008479	-2306.96617415014	
848.6166932	95	5	0.8716739185	0.02652651027	96.23338963	3.766610373	72.771589	27.228411			0.6247684547	-0.6247684547	0	0			-848.6166932	0.02652651027	-2468.44421374329	
846.0566932	95	5	0.8754698933	0.02552198354	96.07961918	3.920380818	72.16114203	27.83885797			0.6128096981	-0.6128096981	0	0			-846.0566932	0.02552198354	-2638.69833672447	
843.4966932	95	5	0.8790294085	0.02458189392	95.92111173	4.078888273	71.56235774	28.43764226			0.601101976	-0.601101976	0	0			-843.4966932	0.02458189392	-2818.41596021301	
840.9366932	95	5	0.8823738406	0.02370145543	95.75746407	4.24253593	70.97497672	29.02502328			0.5896546671	-0.5896546671	0	0			-840.9366932	0.02370145543	-3008.40204230216	
838.3766932	95	5	0.8855221976	0.02287640051	95.58822439	4.411775613	70.39873181	29.60126819			0.5784756018	-0.5784756018	0	0			-838.3766932	0.02287640051	-3209.61394195496	
835.8166932	95	5	0.8884914403	0.02210292311	95.41288367	4.58711633	69.83334933	30.16665067			0.5675712726	-0.5675712726	0	0			-835.8166932	0.02210292311	-3423.20907242942	
833.2566932	95	5	0.8912967533	0.0213776326	95.23086518	4.769134817	69.27855028	30.72144972			0.5569470536	-0.5569470536	0	0			-833.2566932	0.0213776326	-3650.61160532221	
