T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
643.8995295	96	0	4	0	0	97.54146436	0	2.458535644	96	0	4	0.001243121688		-0.001243121688	-917.0495295	0	12.399864950983	
643.8795295	96	0	4	0.001547038716	0.00161128021	97.54033163	0	2.459668371	95.99751408	0	4.002485917	0		0	-917.0295295	0.00161128021	12.4251156772862	
643.8595295	96	0	4	0.003091034247	0.003219292558	97.53919948	0	2.46080052	95.99502945	0	4.004970553	0		0	-917.0095295	0.003219292558	12.4514162858227	
643.8195295	96	0	4	0.006169158702	0.006424747491	97.53693692	0	2.463063075	95.99006405	0	4.00993595	0		0	-916.9695295	0.006424747491	12.5057158895309	
643.7395295	96	0	4	0.01228701472	0.01279450625	97.53241873	0	2.467581266	95.98014866	0	4.01985134	0		0	-916.8895295	0.01279450625	12.6217817568786	
643.5795295	96	0	4	0.0243490669	0.02534860938	97.52340985	0	2.476590147	95.96037922	0	4.039620782	0		0	-916.7295295	0.02534860938	12.8594602670064	
643.2595295	96	0	4	0.04786729242	0.04980823374	97.5054998	0	2.494500199	95.92108209	0	4.078917908	0		0	-916.4095295	0.04980823374	13.3237260994769	
642.6195295	96	0	4	0.0925859109	0.09624835202	97.47009489	0	2.529905114	95.84343038	0	4.156569623	0		0	-915.7695295	0.09624835202	14.2925083802696	
641.3395295	96	0	4	0.1738164577	0.180356167	97.40083092	0	2.599169078	95.69171161	0	4.308288392	0		0	-914.4895295	0.180356167	16.3471165477566	
638.7795295	96	0	4	0.3102487954	0.320774464	97.26770751	0	2.732292486	95.40130378	0	4.59869622	0		0	-911.9295295	0.320774464	20.6811743661578	
636.2195295	96	0	4	0.4209774498	0.4337842771	97.14060975	0	2.859390251	95.12616431	0	4.87383569	0		0	-909.3695295	0.4337842771	25.2494424109417	
633.6595295	96	0	4	0.5133285393	0.5272271759	97.01845977	0	2.981540235	94.86423213	0	5.135767873	0		0	-906.8095295	0.5272271759	30.1154024391647	
631.0995295	96	0	4	0.5920775597	0.6062065266	96.90044944	0	3.099550562	94.6138454	0	5.386154601	0		0	-904.2495295	0.6062065266	35.2311129994917	
628.5395295	96	0	4	0.6604741657	0.6741896553	96.78595703	0	3.214042967	94.37364189	0	5.626358107	0		0	-901.6895295	0.6741896553	40.5509330238812	
625.9795295	96	0	4	0.7208047916	0.7336126082	96.67449372	0	3.325506278	94.14249007	0	5.857509934	0		0	-899.1295295	0.7336126082	46.0397816937236	
623.4195295	96	0	4	0.7747108946	0.7862232377	96.5656679	0	3.4343321	93.91943893	0	6.080561071	0		0	-896.5695295	0.7862232377	51.643512566405	
620.8595295	96	0	4	0.8234491833	0.833354111	96.45916124	0	3.540838759	93.70368218	0	6.296317818	0		0	-894.0095295	0.833354111	57.3350380225343	
618.2995295	96	0	4	0.8679318923	0.8759750131	96.35471072	0	3.645289281	93.49452903	0	6.505470971	0		0	-891.4495295	0.8759750131	63.0949373439245	
615.7395295	96	0	4	0.9088759738	0.9148460414	96.25209675	0	3.747903254	93.29138385	0	6.708616152	0		0	-888.8895295	0.9148460414	68.8903497419634	
613.1795295	96	0	4	0.9468434387	0.9505623952	96.15113388	0	3.848866125	93.09372924	0	6.906270756	0		0	-886.3295295	0.9505623952	74.6987125670624	
610.6195295	96	0	4	0.98228125	0.9835969545	96.05166395	0	3.948336053	92.90111289	0	7.098887112	0		0	-883.7695295	0.9835969545	80.4543761109235	
609.3395295	96	0	4	0.9991709881	0.9992342813	96.00244558	0	3.997554416	92.80656789	0	7.19343211	0		0	-882.4895295	0.9992342813	83.2392131698311	
609.2995295	96	0	4	0.9996909646	0.9997145788	96.0009128	0	3.9990872	92.80363153	0	7.196368465	0		0	-882.4495295	0.9997145788	83.3822619713914	
609.2795295	96	0	4	0.9999505104	0.9999542937	96.00014653	0	3.999853467	92.80216378	0	7.197836224	0		0	-882.4295295	0.9999542937	380.86512378969	
609.2595295	96	0	4	1	1	96.00000027	0	3.999999735							-882.4095295	1	494.287754477869	
